worker	sentence	workeranswer
aggworker61	#0151	We do not sell our products to people live in Europe.
aggworker11	#0151	We do not sell products to people living in Europe.
aggworker25	#0151	We do not sell our products to people living in Europe.
aggworker63	#0151	We do not sell our products to residents of Europe.
aggworker17	#0235	Yamada's mother consulted the teacher.
aggworker6	#0235	Mr.Yamada ‘s mother was consulted to the teather.
aggworker49	#0235	Mr. Yamada's mother consulted the teacher.
aggworker18	#0235	Mother of Yamada asked a teacher an opinion
aggworker72	#0235	Mr. Yamada's mother consulted her son's teacher.
aggworker53	#0709	It is necessary to receive 12-month education at school to become a player.
aggworker2	#0709	In order to become a player, it is necessary to undergo a 12-month training program.
aggworker9	#0709	To become an athlete you need 12 months of education in school
aggworker12	#0709	A 12 month education at school is needed to be a player.
aggworker63	#0709	To become a player, you need to undergo 12 months of education at school.
aggworker2	#0105	He works in a construction company, specializing in scaffolding-related tasks.
aggworker5	#0105	He works as a scaffolding worker at a construction company
aggworker12	#0105	He does the scaffolding job in a construction company.
aggworker3	#0105	He is working as a scaffolding worker at a construction company.
aggworker11	#0105	He works in scaffolding at a construction company.
aggworker17	#0628	I haven't been able to update my blog lately.
aggworker73	#0628	Recently, I haven't been able to update my blog.
aggworker9	#0628	I haven't been able to update my blog as much as I would like lately.
aggworker18	#0628	I was not able to update blog recently what it was with.
aggworker74	#0628	I haven't been able to update my blog lately.
aggworker53	#0223	The person we thought could do everything perfectly makes a mistake.
aggworker9	#0223	Those who thought they could do everything perfectly failed.
aggworker13	#0223	The man who believes that he can do everything perfectly fail.
aggworker61	#0223	The man who think he can do everything perfectly will fail.
aggworker2	#0223	People who believe everything will go perfectly are more likely to fail.
aggworker5	#0549	31 people have disability.
aggworker32	#0549	There are thirty one people who have some kind of physical disabilities.
aggworker73	#0549	31 people have some form of disability in their bodies.
aggworker13	#0549	Thirty one people have some kind of physical disability.
aggworker63	#0549	31 people have some kind of physical disability.
aggworker9	#0769	There are countless examples of people misremembering meanings.
aggworker14	#0769	There are many examples of memorizing things incorrectly.
aggworker17	#0769	There are many examples of memorizing the meaning of words incorrectly.
aggworker2	#0769	There are countless examples of misremembering the meaning.
aggworker75	#0769	There are countless examples of mistakes.
aggworker38	#0381	At first, local government must examine how to create happiness.
aggworker76	#0381	The government should think about people's happiness.
aggworker49	#0381	Local governments must think about what they can do to benefit the people.
aggworker11	#0381	Local governments should first consider how to create happiness.
aggworker18	#0381	The local government must establish our happiness.
aggworker49	#0457	It's like watching a scene from a movie.
aggworker77	#0457	I like watching a scene of movie.
aggworker10	#0457	It's like watching a scene from a movie.
aggworker14	#0457	 I feel like I see a scene of movie.
aggworker2	#0457	It is as if I'm watching a scene from a movie.
aggworker5	#0673	In an instant, the temperature reached 40 degrees
aggworker74	#0673	I immediately developed a fever of 40 degrees.
aggworker4	#0673	A fever reached nearly 40 Celsius at once.
aggworker25	#0673	Fever quickly rose to nearly 40 degrees.
aggworker2	#0673	When I have a fever, it quickly reaches 40 degrees.
aggworker31	#0282	The Bible says this phrase.
aggworker9	#0282	There are such words in the Bible
aggworker2	#0282	The Bible contains such words.
aggworker13	#0282	 There are words like this in the Bible.
aggworker49	#0282	The Bible has Saying like that.
aggworker9	#0418	Please check our website for details.
aggworker6	#0418	For more details, please check our company’s website.
aggworker12	#0418	Please visit the company's website for more details.
aggworker63	#0418	Please visit our homepage for more information.
aggworker2	#0418	For more details, please visit our company's website.
aggworker78	#0588	Each has its own unique taste and aroma.
aggworker11	#0588	Each has its own taste and flavor.
aggworker49	#0588	Each has its own flavor.
aggworker25	#0588	Each has its own unique taste and flavor.
aggworker2	#0588	Each has its own unique taste and smell.
aggworker9	#0514	Most of the major European logistics companies are located in the UK.
aggworker61	#0514	Most of Europe's major logistic companies are British companies.
aggworker10	#0514	Many of Europe's major logistics companies are British-based.
aggworker49	#0514	Many of Europe's major logistics companies are British companies.
aggworker14	#0514	Many of Europe's major logistics companies are from England.
aggworker2	#0408	He will check if it's convenient for both parents on the open house day.
aggworker49	#0408	Keep the schedule open for the visit date.
aggworker9	#0408	He will probably go on the open class day.
aggworker79	#0408	 For the time being, he sees the state of the observing day.
aggworker18	#0408	He will probably go to an opened class day.
aggworker80	#0218	The period for sending tax payment certificate is from 1st to 15th.
aggworker14	#0218	The period for submitting tax certificates is from the 1st to the 15th
aggworker25	#0218	Tax payment certificates must be sent between the 1st and 15th.
aggworker2	#0218	The period for sending tax certificates is from the 1st to the 15th of the month.
aggworker10	#0218	The period for sending tax certificates is from the 1st to the 15th.
aggworker81	#0615	We can easily access the Internet wirelessly with our cell phones.
aggworker3	#0615	We can easily access the internet wirelessly using a mobile phone.
aggworker15	#0615	You can easily connect to the network from your mobile phone without a cord.
aggworker9	#0615	A mobile phone allows for easy wireless Internet access.
aggworker2	#0615	We can easily connect to the internet on our mobile phones without using any codes.
aggworker52	#0455	The neighbor saw the child being kidnapped.
aggworker6	#0455	The neighbor saw the child is taken away.
aggworker13	#0455	The neighbor saw the child being kidnapped.
aggworker17	#0455	A neighbor witnessed the child being abducted.
aggworker9	#0455	A neighbor witnessed a child being kidnapped.
aggworker82	#0531	That kind of person is very confident in themselves.
aggworker83	#0531	Such people usually have absolute confidence in themselves.
aggworker2	#0531	The kind of people like that often have absolute confidence in themselves.
aggworker18	#0531	The person with such kind often trusts oneself.
aggworker9	#0531	Such people often have absolute confidence in themselves.
aggworker4	#0365	He will do the sitting in front of National Assembly and request actions for parliamentarians from 11 o'clock to 1 o'clock..
aggworker25	#0365	He will hold a sit-in in front of the capitol from 11 a.m. to 1 a.m. and call for action to Diet members.
aggworker6	#0365	He will hold a sit-in in front of national assembly and request action for member of Parliament from 11 o'clock to 1 o'clock.
aggworker14	#0365	He plans to hold a sit-in demonstration in front of the diet from 11 a.m. to 1 p.m.
aggworker49	#0365	He will hold a sit-in in front of the National Assembly from 11 a.m. to 1 p.m., demanding specific actions from members of parliament.
aggworker49	#0567	Each era has its own unique atmosphere.
aggworker17	#0567	Each era has its own unique atmosphere.
aggworker73	#0567	Each era has its own unique atmosphere.
aggworker2	#0567	Each one carries the atmosphere of its respective era.
aggworker63	#0567	Each one has the atmosphere of that era.
aggworker26	#0345	Our hotel conducts a meeting with event organizers in advance. 
aggworker11	#0345	This facility will have a meeting with the organizer in advance.
aggworker2	#0345	We usually have a meeting with the event organizers in advance.
aggworker10	#0345	We will have a meeting with the event organizer in advance.
aggworker84	#0345	We will meet with the event organizer in advance at the hotel hall.
aggworker44	#0530	We should pay more attention to broader social issues.
aggworker5	#0530	He should look at whole social issues.
aggworker74	#0530	We need to be more concerned about the world as a whole
aggworker85	#0530	We should be more interested in broader issues of entire society.
aggworker63	#0530	We should be more concerned about social issues.
aggworker3	#0339	The workers repaired dangerous places at any times.
aggworker17	#0339	Workers were constantly repairing dangerous areas.
aggworker62	#0339	Specialists repaired dangerous areas.
aggworker27	#0339	The contractor repaired dangerous places at any time.
aggworker12	#0339	Construction workers performs the repairing work anytime of the day.
aggworker34	#0474	The tick of the second hand sounds nice to me.
aggworker17	#0474	The sound of the second hand of the clock is very pleasing to the ear.
aggworker18	#0474	The sound of the assistant to watch is very comfortable in an ear
aggworker5	#0474	The sound of the second hand of the clock resonates pleasantly in my ears.
aggworker2	#0474	The sound of the second hand on the clock is pleasant to the ears.
aggworker41	#0739	We have to accept the decision of the mayor.
aggworker18	#0739	We did so to accept determination of Mayor of town.
aggworker49	#0739	We must follow the mayor's decision.
aggworker25	#0739	We need to get a decision from the mayor.
aggworker4	#0739	We have to accept the decision of the town mayor.
aggworker39	#0366	The staff will provide explanations in advance to new customers regarding the fees and the details of services.
aggworker10	#0366	For new customers, our staff will explain the fees and contents in advance.
aggworker25	#0366	Our staff will explain our fees and services to first-time customers in advance.
aggworker69	#0366	Our staff will explain the fees and the services to new customers in advance.
aggworker86	#0366	Staff will explain fee and service for new customers.
aggworker17	#0005	I think Mr. Yamada is a person who is liked by everyone.
aggworker14	#0005	I think Yamada is the type that everyone likes.
aggworker6	#0005	I think that Mr Yamada  will be liked by many people.
aggworker23	#0005	I think Mr. Yamada is a person who is liked by everyone.
aggworker10	#0005	I think Mr. Yamada is the type of person that everyone likes.
aggworker13	#0340	In case of a lot of applicants, he will adjust the schedule.
aggworker2	#0340	If there are many applicants, we will adjust the schedule accordingly.
aggworker33	#0340	 In case of large number of applicants,  he will arrange the schedule.
aggworker10	#0340	If there are a large number of applicants, we will adjust the schedule.
aggworker49	#0340	If there are a large number of applicants, we will adjust the schedule.
aggworker13	#0341	He will change the function and modifies the condition from time to time.
aggworker31	#0341	Depending on the situation, he can change his function and condition.
aggworker14	#0341	He will correct the change of functions and conditions.
aggworker11	#0341	 From time to time, we will make changes to features and fix defects.
aggworker63	#0341	He occasionally makes feature changes and bug fixes.
aggworker38	#0296	There is a trade-off between index creation cost and search cost.
aggworker5	#0296	There is a trade-off between the cost of indexing and the cost of research
aggworker49	#0296	The costs of creating an index and searching are trade off.
aggworker9	#0296	The cost of index creation and search cost are being the trade-off relationship.
aggworker63	#0296	There is a trade-off between indexing and search costs.
aggworker4	#0233	56 percent of people do splenectomy by they get 5 years old.
aggworker14	#0233	56% of people have splenectomy before age of  5
aggworker12	#0233	The percentage of people doing splenectomy before the age of 5  is 56%.
aggworker25	#0233	56% of splenectomies are performed before age 5 years old.
aggworker2	#0233	56 percent of people undergo spleen removal surgery by the age of 5.
aggworker76	#0232	I am excited now as a fan of the Pacific League.
aggworker38	#0232	I am a Pacific League fan so I am excited now.
aggworker14	#0232	As a Paris League fan I'm so excited right now
aggworker49	#0232	I'm a Pacific League fan, so I'm really looking forward to it.
aggworker10	#0232	As a Pacific League fan myself, I'm already excited.
aggworker9	#0331	We provide information on infectious diseases and healthcare for healthcare professionals.
aggworker2	#0331	We provide information on medical topics, such as infectious diseases, for healthcare professionals.
aggworker11	#0331	We provide medical information such as infectious disease information and medical information for medical workers.
aggworker10	#0331	We provide information on infectious diseases and medical care for medical professionals.
aggworker12	#0331	We provide medical information and information for infectious disease to the  medical staffs.
aggworker12	#0773	Too impossible to believe that pathetic people work in such an institution.
aggworker74	#0773	It's too early for such a young person to work here.
aggworker49	#0773	There is no way a young person with such incompetence could belong to such an organization.
aggworker23	#0773	I can't believe there is such a poor young man in that facility.
aggworker63	#0773	He is too young and incapable of working in this office.
aggworker2	#0440	I watched a long evening TV program for the first time in a while.
aggworker9	#0440	I haven't watched an evening TV show in a long time.
aggworker18	#0440	I did not see a show in the evening for long time.
aggworker5	#0440	I watched the evening entertainment wide show TV program for the first time in a while.
aggworker44	#0440	I haven't watched evening shows for a long time.
aggworker18	#0129	The people in charge meet a craftsman.
aggworker11	#0129	The staff in charge will have a meeting with the craftsman.
aggworker17	#0129	The staff in charge will have a meeting with the craftsman.
aggworker2	#0129	The assigned staff will hold a pre-meeting with the craftsmen.
aggworker82	#0129	The person in charge plans to have a meeting with the craftsman.
aggworker6	#0694	 I saw the same scene in this movie.
aggworker31	#0694	We can see similar scene in movie.
aggworker2	#0694	I have seen similar scenes in movies.
aggworker41	#0694	A similar scene was shown in the movie.
aggworker11	#0694	I've seen a similar scene in a movie.
aggworker47	#0452	He is checking the posts on the e-mail friend recruitment bulletin board on the website.
aggworker32	#0452	He read posts posted on the bulletin board to find email friends.
aggworker2	#0452	He is looking at posts on bulletin boards for finding pen pals.
aggworker49	#0452	He checks to see if there is a post on the bulletin board asking for email friends.
aggworker15	#0452	He sees the post on the mail friend bulletin board.
aggworker41	#0324	Weather conditions refer to the state in which the selected parameter exceeds a set value.
aggworker14	#0324	Weather conditions are situations where the selected item is greater than the set value.
aggworker49	#0324	Weather conditions indicate that the selected item is greater than the set value
aggworker2	#0324	The weather conditions mean that the selected parameter is greater than the set value.
aggworker9	#0324	Weather conditions refer to situations where the selected item is greater than the set value.
aggworker17	#0348	To register data, you must first register the information category.
aggworker18	#0348	You firstly have to register an information category for data registration.
aggworker2	#0348	To register data, first, you need to register the category of information.
aggworker45	#0348	To register data, first register the information category.
aggworker73	#0348	To register data, it is necessary to first register the category of information.
aggworker18	#0399	Our company thinks about the health of the family in a house
aggworker15	#0399	Our company values ​​the health of your home and family.
aggworker44	#0399	Our company is attentive to the health of homes and families.
aggworker5	#0399	Our company values ​​family health and housing
aggworker19	#0399	We care about the health of your home and family.
aggworker9	#0621	You can easily calculate your daily calories.
aggworker45	#0621	Easily calculate your daily calories.
aggworker5	#0621	You can easily calculate your daily calories
aggworker11	#0621	You can easily calculate your daily calories.
aggworker49	#0621	You can easily calculate your daily calories.
aggworker5	#0774	he didn't mean it that way.
aggworker85	#0774	He didn't mean it that way.
aggworker17	#0774	He had no such feelings at all.
aggworker6	#0774	The person did not feel like that at all.
aggworker59	#0774	He had no such thoughts or feelings whatsoever.
aggworker0	#0034	When shopping, 32.2% of people refer to the sales talk of shop staff.
aggworker49	#0034	30.2% of customers refer to the opinions of salespeople.
aggworker6	#0034	30.2% refer to the opinion of a sales persons.
aggworker87	#0034	30.2% of customers refer to the opinions of salespeople.
aggworker4	#0034	30.2% of people take the salesperson opionon into the account.
aggworker2	#0294	There are many cases where efforts are not evaluated on the site.
aggworker5	#0294	There are many cases where workers are not recognized by their workplace.
aggworker11	#0294	There are many cases where the work is not evaluated from the field.
aggworker6	#0294	There are many cases those are not evaluated in the scene.
aggworker4	#0294	There are many cases that are not evaluated from the field.
aggworker25	#0330	We will actively support the activities of local people.
aggworker88	#0330	We actively support the activities of local people.
aggworker50	#0330	We will actively collaborate with local people.
aggworker14	#0330	We will actively support the local people for activities.
aggworker85	#0330	We support the activities of local people.
aggworker11	#0378	I will give advice on how to use the product to those who are actually using the product.
aggworker27	#0378	I can advise the usage to someone who actually use it.
aggworker73	#0378	I will instruct the users on how to use the product.
aggworker25	#0378	We will give advice on how to use it for those who are actually using it.
aggworker10	#0378	I will give advice on how to use it for those who are actually using it.
aggworker10	#0726	This is the first time that authority has been designated as a direct transfer from another prefecture.
aggworker60	#0726	It is the first in the nation to receive a direct transfer of authority.
aggworker38	#0726	It is the first time in japan to receive the transfer of authority directly from prefectures.
aggworker6	#0726	It is the first time in the country that directly given authority from prefectures.
aggworker4	#0726	It's the first time in the country that we were transferred authority directly from prefectures.
aggworker64	#0586	He had very little accurate information.
aggworker13	#0586	He had little accurate information.
aggworker85	#0586	He had little accurate information.
aggworker14	#0586	he had little correct information
aggworker12	#0586	He only had few accurate information.
aggworker23	#0654	He stood up and quickly left the room.
aggworker73	#0654	He stood up and walked out of the room.
aggworker49	#0654	He stands up and immediately leaves the room.
aggworker83	#0654	He got up and left the room.
aggworker56	#0654	He got up and left the room.
aggworker88	#0631	I finally had time to organize during the holidays.
aggworker7	#0631	I was finally able to organize it during the holidays.
aggworker2	#0631	I was able to find some free time and tidy up.
aggworker83	#0631	I finally managed to get things sorted out during the holidays.
aggworker12	#0631	I finally found a time to fix it while on a vacation.
aggworker56	#0590	Everyone has hope for the future of the gaming industry.
aggworker53	#0590	Everyone had hope in the future of  the game industry.
aggworker7	#0590	Everyone was hopeful about the future of the gaming industry.
aggworker38	#0590	Everyone had hopes in future of game industry.
aggworker49	#0590	Everyone was looking forward to the future of the gaming industry.
aggworker5	#0337	he decided how to hold the seminar
aggworker7	#0337	He is trying to figure out how to conduct this seminar.
aggworker9	#0337	He is considering how to conduct the seminar.
aggworker43	#0337	He is looking for a way to implement it in order to hold a seminar.
aggworker4	#0337	He considers the method of implementation for the seminar.
aggworker46	#0658	I admired when I saw the beautiful scenery.
aggworker49	#0658	When I see the beautiful scenery, I can't help but sigh.
aggworker1	#0658	I couldn't help but be amazed by the beautiful scenery.
aggworker14	#0658	When I see a beautiful scenery I cannnot stop comming out admiring voice
aggworker10	#0658	When I see a beautiful scenery, I can't help but sigh.
aggworker44	#0063	I believe the total budget amount would be 202 million 840 thousand yen.
aggworker82	#0063	The budget is set at 2.84 million yen.
aggworker26	#0063	The total amount of the budget would be 202.84 million yen.
aggworker58	#0063	 I guees that the total budget is 2.84 million yen
aggworker53	#0063	 The total budget is 202.84 million yen.
aggworker89	#0375	The cultural club will exhibit their works.
aggworker5	#0375	The Culture club exhibits works
aggworker2	#0375	There is an exhibition organized by the Ministry of Culture.
aggworker44	#0375	Cultural clubs display their works.
aggworker9	#0375	The cultural club exhibits their works.
aggworker57	#0351	At first, he checks his health every morning.
aggworker10	#0351	He checks his health first every morning.
aggworker23	#0351	He does a health check first every morning.
aggworker9	#0351	He conducts a health checking first thing every morning.
aggworker45	#0351	He checks his health every morning.
aggworker90	#0185	People around me have expectations of me
aggworker56	#0185	The people in front of me have expectations of me.
aggworker85	#0185	The people in front of me have expectations of me.
aggworker87	#0185	I have high expectations from people around me.
aggworker49	#0185	Everyone around me is counting on me.
aggworker2	#0270	I tend to admire people who act devotedly.
aggworker47	#0270	I tend to like dedicated people.
aggworker6	#0270	I tend to love people who act committed
aggworker82	#0270	I like people who act with dedication.
aggworker25	#0270	I tend to like people who act with dedication.
aggworker34	#0546	It has a structure that is similar to that of human female sex hormones.
aggworker9	#0546	It has a structure similar to human female hormones.
aggworker2	#0546	It has a structure similar to human female hormones.
aggworker60	#0546	It has the same structure as human female hormones.
aggworker17	#0546	It has a structure similar to human female hormones.
aggworker41	#0285	Certainly, in the hospital, all responsibility rests on me as the director.
aggworker5	#0285	Without a doubt, the hospital and I are responsible for all of those problems.
aggworker7	#0285	The hospital and I, as the principal, must take responsibility for the entire incident.
aggworker2	#0285	Undoubtedly, the entire responsibility lies with the hospital and me as the director.
aggworker4	#0285	Of course, the hospital and I, the director of the hospital take responsibillity.
aggworker5	#0010	I think that work was created during the Momoyama period.
aggworker23	#0010	I think this is a work from around the Momoyama period.
aggworker3	#0010	I think that the artwork is from around the Momoyama period.
aggworker56	#0010	This is thought to be a work from the Momoyama period.
aggworker21	#0010	I think that the work was created from around the Momoyama period.
aggworker14	#0377	Staff will do engine support of the day
aggworker1	#0377	Staff will support engines on the day of the event.
aggworker13	#0377	Our staff will provide engine support on the day.
aggworker83	#0377	On the day of the event, our staff will be in charge of engine support.
aggworker73	#0377	Our company's staff will provide engine support on that day.
aggworker11	#0619	If you use this option, you can specify the date and delivery time.
aggworker85	#0619	When you want to use it, you can choose the date and time and have it delivered.
aggworker17	#0619	Using this service, you can specify the delivery date and time.
aggworker53	#0619	When you use this, you can specify the date and delivery time.
aggworker1	#0619	When using this service, you may specify a date and time.
aggworker31	#0215	He requests each insurance company to send some brochures. 
aggworker58	#0215	He requests each insurance company to provide brochures.
aggworker6	#0215	He will request the documents to all insurance company.
aggworker4	#0215	He will request a brochure to each health assurance company.
aggworker73	#0215	He requested brochures from each insurance company.
aggworker7	#0354	He evaluated the physical and lifetime properties of the material.
aggworker2	#0354	He evaluated the physical properties of the materials and their lifespan characteristics.
aggworker53	#0354	He evaluated the material properties and lifetime characteristics.
aggworker56	#0354	He evaluated the properties and lifespan of materials.
aggworker10	#0354	He evaluated material properties and life characteristics.
aggworker66	#0400	He is seriously considering whether to buy it or not.
aggworker11	#0400	He is seriously considering buying it.
aggworker10	#0400	He is seriously considering buying it.
aggworker1	#0400	He is seriously considering whether to buy it.
aggworker25	#0400	 He is seriously considering whether to buy it.
aggworker3	#0731	The watercolor course received an interview from the magazine.
aggworker5	#0731	The watercolor class was interviewed by a magazine.
aggworker25	#0731	Watercolor painting class was interviewed by a magazine.
aggworker11	#0731	The watercolor painting class was interviewed by a magazine.
aggworker85	#0731	Our watercolor painting class was covered by a magazine.
aggworker43	#0083	Diamond appraisal will be done by a diamond appraiser.
aggworker2	#0083	An individual with a certification as a diamond appraiser will assess it.
aggworker6	#0083	Jeweled Appraiser is going to do the examination.
aggworker87	#0083	The appraisal will be performed by a person who is qualified to appraise diamonds.
aggworker9	#0083	A qualified diamond appraiser will inspect the diamonds.
aggworker2	#0195	First-grade elementary students learned to play the melodica.
aggworker7	#0195	First-graders learn to play the keyboard harmonica
aggworker91	#0195	First graders enjoyed practicing melodica.
aggworker4	#0195	1st year students studied how to play keyboard harmonicas.
aggworker29	#0195	First-graders learned how to play the keyboard harmonica.
aggworker15	#0404	We should consider the social mechanism that guns are not easily to obtain.
aggworker14	#0404	We should consider the social system in which guns are difficult to obtain.
aggworker25	#0404	We should consider a social system where guns are not easily accessible.
aggworker11	#0404	We should consider the structure of society where guns are difficult to obtain.
aggworker13	#0404	We should consider the mechanism of society where guns are hard to be obtained.
aggworker12	#0249	There is a  possibility of getting an infection even in a stage 2 syphilis.
aggworker69	#0249	In the case of secondary syphilis, all the people are at the risk of infection.
aggworker13	#0249	In the second stage of syphilis, there is a risk of infection to all.
aggworker85	#0249	In the case of second stage syphilis, there is a risk of infection in all.
aggworker92	#0249	In the case of second stage syphilis, All patients have a risk of infection.
aggworker84	#0539	He doesn't have that much knowledge.
aggworker5	#0539	he has no such knowledge
aggworker26	#0539	He doesn't have that much knowledge.
aggworker13	#0539	He doesn't have much knowledge.
aggworker38	#0539	 He does not have such knowledge.
aggworker38	#0663	I get some energies when I get a little money.
aggworker7	#0663	Somehow small changes make me happy.
aggworker9	#0663	When I get a small change, I am happy for some reason.
aggworker14	#0663	When I get even a little money, I feel better.
aggworker93	#0663	I can work harder if I get a tip.
aggworker7	#0393	He is seriously considering a career change to the firm.
aggworker13	#0393	He seriously thought about changing jobs to nearby company.
aggworker49	#0393	He was seriously considering changing jobs to a company near his company.
aggworker12	#0393	He is serious about changing his job to a nearby company.
aggworker85	#0393	He seriously considered changing jobs to a nearby company.
aggworker56	#0181	My boss said some strong words to me and I felt dizzy.
aggworker7	#0181	I am dizzy from my boss's strong statements.
aggworker94	#0181	I felt dizzy after being scolded harshly by my boss.
aggworker60	#0181	I got dizzy from the strong tone from my boss.
aggworker9	#0181	I felt dizzy from my boss's strong words.
aggworker19	#0156	We provide services aimed at reducing the burden on families.
aggworker6	#0156	We provide this service for the purpose for the reduction of your families.
aggworker25	#0156	We provide the service are aimed at reducing the burden on families.
aggworker10	#0156	We provide services aimed at reducing the burden on families.
aggworker49	#0156	We provide services to reduce the burden on your family.
aggworker82	#0571	Employees remain aware.
aggworker6	#0571	 The staff keeps having such recognition.
aggworker69	#0571	The staff will keep having such recognitions.
aggworker11	#0571	The staff will continue to maintain this awareness.
aggworker13	#0571	The staff keeps such awareness.
aggworker45	#0368	We are soliciting opinions as follows.
aggworker7	#0368	Comments are solicited in the following manner.
aggworker17	#0368	We are soliciting opinions as follows.
aggworker56	#0368	We are soliciting opinions as follows.
aggworker48	#0368	We will accept your opinions below.
aggworker73	#0538	All children have strong sensitivity.
aggworker5	#0538	Most children have a certain level of sensitivity.
aggworker41	#0538	Every child has that kind of sensibility.
aggworker60	#0538	Many children have such sensitivity.
aggworker12	#0538	Children have such sensitivity .
aggworker14	#0488	Ii is highly recommend for people buying it now
aggworker95	#0488	It is definitely better for people who are going to buy it.
aggworker10	#0488	It's definitely better for people who are about to buy it.
aggworker11	#0488	It's definitely better for people who are about to buy it.
aggworker25	#0488	Those who are buying now should definitely go for that.
aggworker13	#0169	Yamada and Sato practice singing together.
aggworker56	#0169	Yamada and Sato practice singing together.
aggworker26	#0169	Yamada and Sato practice singing together.
aggworker82	#0169	Yamada and Sato practice to sing together.
aggworker64	#0169	Yamada and Sato practice songs together.
aggworker1	#0627	The restaurant has a calm atmosphere where you can relax and enjoy your meal.
aggworker9	#0627	The restaurant offers a relaxed and comfortable environment for a leisurely meal.
aggworker19	#0627	This is a restaurant where you can enjoy a leisurely meal in a calm atmosphere.
aggworker4	#0627	The shop can have a relaxing meal with a calm feeling.
aggworker49	#0627	The restaurant has a calm atmosphere, so you can relax and enjoy your meal.
aggworker96	#0392	We should think again about education.
aggworker73	#0392	We should individually reconsider the current state of education.
aggworker82	#0392	Everyone wants to relearn.
aggworker19	#0392	We should all reconsider the way education should be conducted.
aggworker4	#0392	Every person rethinks how education should be became by himself.
aggworker9	#0575	People who can understand things are generous in their hearts.
aggworker6	#0575	A person who being knowing it have room toward a heart
aggworker14	#0575	A human being knowing it have room toward a heart.
aggworker33	#0575	  Those who realize everything should  afford.
aggworker1	#0575	The person who can understand things has a heart to spare.
aggworker11	#0700	If you get the timing wrong, you won't be able to get any speed at all.
aggworker4	#0700	It never drives fast when I take the wrong timing.
aggworker45	#0700	If you get the timing wrong, you won't be able to speed up.
aggworker13	#0700	If you miss the timing you will not get any speed.
aggworker87	#0700	If you get the timing wrong, you won't be able to drive fast.
aggworker5	#0721	Most people have some kind of damage
aggworker25	#0721	Most people suffered some kind of damage.
aggworker21	#0721	Most people suffered some kind of damage.
aggworker11	#0721	Most people suffered some kind of damage.
aggworker85	#0721	Most people suffered some kind of damage.
aggworker13	#0171	Mr. Yamada and the sound engineer adjusted the time and so on.
aggworker64	#0171	Mr. Yamada and the sound engineer coordinated the time.
aggworker85	#0171	Mr. Yamada and the sound staff arranged the time.
aggworker45	#0171	Mr. Yamada and the sound engineer coordinated the time.
aggworker12	#0171	Mr. Yamada and the sound technician did the time adjustment and so forth.
aggworker56	#0543	I have my thoughts firmly in place.
aggworker97	#0543	You should have your own opinion firmly.
aggworker41	#0543	You should have your own opinions.
aggworker98	#0543	One should have his own opinions.
aggworker12	#0543	You should know the importance of having your own opinion.
aggworker17	#0451	He takes a closer look at the products in that category.
aggworker56	#0451	He is willing to check out more products in this category.
aggworker9	#0451	He is going to look more closely at items in this category.
aggworker2	#0451	He will see more products in this category.
aggworker10	#0451	He will check out more products in this category.
aggworker67	#0643	I couldn't get my head around the current situation
aggworker10	#0643	My head couldn't keep up with the current situation.
aggworker12	#0643	I could not keep up with the current situation.
aggworker25	#0643	I couldn't wrap my head around what was going on at the time.
aggworker14	#0643	My head can't keep up with current situation
aggworker14	#0466	 It seems various people is viewing this blog
aggworker45	#0466	It seems like a lot of people are reading this blog.
aggworker73	#0466	People of various races are viewing this blog.
aggworker12	#0466	Various types of people view his blog.
aggworker69	#0466	It seems that various people check this blog.
aggworker25	#0157	Two actresses captivated a male fans.
aggworker17	#0157	Male fans were fascinated by the two actresses.
aggworker60	#0157	The two actresses captivated their male fans.
aggworker6	#0157	Two actresses was attracted the attention of male fans
aggworker8	#0157	The two actresses captivated their male fans.
aggworker85	#0560	All are first-class experts.
aggworker53	#0560	Everyone has the qualification of a level-one certified technician.
aggworker56	#0560	All members hold first class technician qualifications.
aggworker8	#0560	All of them hold first-class technician certification.
aggworker14	#0560	Everyone is a level-one certified technician.
aggworker39	#0347	He takes charge of development of business brand and consulting of a company.
aggworker62	#0347	He is in charge of brand business and consulting
aggworker14	#0347	He does the development of business and the consulting of the company.
aggworker4	#0347	He is responsible for the business brand development and consulting company.
aggworker21	#0347	He provids business brand development and consulting for the company.
aggworker2	#0328	At the university, we mainly engage in activities such as the following.
aggworker14	#0328	The main activities of universities are as follows.
aggworker59	#0328	The University is involved in the following activities
aggworker19	#0328	The university mainly engages in the following activities.
aggworker32	#0328	The main activities of the university are as follows
aggworker0	#0770	There are mostly no places like that around here.
aggworker99	#0770	There is no such place around here.
aggworker17	#0770	There are very few places like that around here.
aggworker9	#0770	There is no such place in this neighborhood.
aggworker53	#0770	There are few such places around here.
aggworker99	#0556	I take responsibility for their actions.
aggworker32	#0556	I am responsible for their actions.
aggworker44	#0556	I will take responsibility for their actions.
aggworker53	#0556	I am responsible for their behavior.
aggworker9	#0556	I accept responsibility for their actions.
aggworker56	#0325	He worked in 60 countries in about 10 years.
aggworker2	#0325	He has been active in over 60 countries and regions for approximately 10 years.
aggworker21	#0325	He has worked in more than 60 countries for nearly a decade.
aggworker39	#0325	He has performed nearly a decade of activities at areas in over 60 countries.
aggworker23	#0325	He worked in over 60 countries for about 10 years.
aggworker49	#0616	Those who require nursing care can use external nursing care insurance services.
aggworker32	#0616	Those who need nursing care can use external nursing care insurance services.
